TimeOffsetMs,LocationName,Severity,Type
1000,North,CRITICAL,CARDIAC
2500,South,HIGH,TRAUMA
3000,East,MEDIUM,PEDIATRIC
5000,West,CRITICAL,BURN
7500,Center,HIGH,NEUROLOGICAL
8000,Downtown,LOW,DENTAL
10000,Suburbs,LOW,OPHTHALMOLOGY
12000,Airport,MEDIUM,GENERAL
15000,Downtown,HIGH,CARDIAC
17000,Airport,CRITICAL,TRAUMA
18000,Suburbs,HIGH,PEDIATRIC
20000,Center,MEDIUM,BURN
22000,North,CRITICAL,NEUROLOGICAL
25000,East,LOW,GENERAL
27000,West,HIGH,TRAUMA
30000,Suburbs,CRITICAL,CARDIAC
32000,Downtown,MEDIUM,PEDIATRIC
35000,North,LOW,DENTAL
38000,South,MEDIUM,OPHTHALMOLOGY
40000,Airport,CRITICAL,BURN
