timestamp,case_id,severity,winner_id,winning_bid,jains_fairness,num_bidders
1786685465580,C-0,HIGH,Amb-2,0.00,1.0000,5
1786685465616,C-1,CRITICAL,Amb-4,0.00,1.0000,5
1786685465646,C-2,CRITICAL,Amb-3,6.50,1.0000,5
1786685465677,C-3,LOW,Amb-2,0.00,0.8889,5
1786685465708,C-4,LOW,Amb-2,0.00,0.7576,5
1786685465739,C-5,MEDIUM,Amb-2,0.00,0.6667,5
1786685465768,C-6,HIGH,Amb-4,0.00,0.7778,5
1786685465799,C-7,MEDIUM,Amb-2,0.00,0.7111,5
1786685465830,C-8,CRITICAL,Amb-1,0.00,0.6532,5
1786685465860,C-9,LOW,Amb-5,0.00,0.6250,5
1786685465890,C-10,LOW,Amb-2,0.00,0.5628,5
1786685465926,C-11,MEDIUM,Amb-1,2.00,0.6261,5
1786685465958,C-12,CRITICAL,Amb-3,0.00,0.6898,5
1786685465991,C-13,LOW,Amb-3,0.00,0.7259,5
1786685466021,C-14,LOW,Amb-5,0.00,0.7895,5
1786685466053,C-15,HIGH,Amb-3,0.00,0.8000,5
1786685466082,C-16,MEDIUM,Amb-3,6.50,0.7918,5
1786685466114,C-17,CRITICAL,Amb-1,0.00,0.8308,5
1786685466145,C-18,HIGH,Amb-3,6.50,0.8112,5
1786685466180,C-19,MEDIUM,Amb-3,6.50,0.7843,5
1786685466213,C-20,CRITICAL,Amb-2,0.00,0.7670,5
1786685466245,C-21,MEDIUM,Amb-3,6.50,0.7446,5
1786685466280,C-22,CRITICAL,Amb-3,6.50,0.7197,5
1786685466327,C-23,CRITICAL,Amb-4,0.00,0.7579,5
1786685466359,C-24,LOW,Amb-3,6.50,0.7310,5
1786685466462,C-0,LOW,Amb-2,0.00,0.7269,5
1786685466492,C-1,HIGH,Amb-4,0.00,0.7554,5
1786685466522,C-2,MEDIUM,Amb-4,4.00,0.7762,5
1786685466551,C-3,MEDIUM,Amb-4,4.00,0.7897,5
1786685466580,C-4,HIGH,Amb-4,4.00,0.7965,5
1786685466614,C-5,LOW,Amb-4,4.00,0.7975,5
1786685466644,C-6,HIGH,Amb-1,0.00,0.8258,5
1786685466671,C-7,CRITICAL,Amb-1,0.00,0.8475,5
1786685466701,C-8,MEDIUM,Amb-2,0.00,0.8438,5
1786685466728,C-9,CRITICAL,Amb-4,4.00,0.8419,5
1786685466757,C-10,LOW,Amb-1,0.00,0.8583,5
1786685466785,C-11,MEDIUM,Amb-4,4.00,0.8530,5
1786685466814,C-12,LOW,Amb-4,4.00,0.8444,5
